0,rank,1/rank
24.0,25.0,0.04
7.0,8.0,0.125
54.0,55.0,0.01818181818181818
17.0,18.0,0.05555555555555555
309.0,298.0,0.003355704697986577
7.0,8.0,0.125
27.0,28.0,0.03571428571428571
48.0,49.0,0.02040816326530612
424.0,368.0,0.002717391304347826
11.0,12.0,0.08333333333333333
275.0,269.0,0.0037174721189591076
0.0,1.0,1.0
273.0,267.0,0.003745318352059925
25.0,26.0,0.038461538461538464
32.0,33.0,0.030303030303030304
51.0,52.0,0.019230769230769232
12.0,13.0,0.07692307692307693
44.0,45.0,0.022222222222222223
316.0,303.0,0.0033003300330033004
119.0,120.0,0.008333333333333333
43.0,44.0,0.022727272727272728
20.0,21.0,0.047619047619047616
47.0,48.0,0.020833333333333332
151.0,152.0,0.006578947368421052
28.0,29.0,0.034482758620689655
140.0,141.0,0.0070921985815602835
44.0,45.0,0.022222222222222223
24.0,25.0,0.04
168.0,169.0,0.005917159763313609
147.0,148.0,0.006756756756756757
0.0,1.0,1.0
7.0,8.0,0.125
7.0,8.0,0.125
28.0,29.0,0.034482758620689655
7.0,8.0,0.125
0.0,1.0,1.0
0.0,1.0,1.0
48.0,49.0,0.02040816326530612
207.0,207.0,0.004830917874396135
185.0,186.0,0.005376344086021506
105.0,106.0,0.009433962264150943
23.0,24.0,0.041666666666666664
25.0,26.0,0.038461538461538464
138.0,139.0,0.007194244604316547
39.0,40.0,0.025
16.0,17.0,0.058823529411764705
37.0,38.0,0.02631578947368421
7.0,8.0,0.125
11.0,12.0,0.08333333333333333
3.0,4.0,0.25
6.0,7.0,0.14285714285714285
426.0,370.0,0.002702702702702703
88.0,89.0,0.011235955056179775
430.0,371.0,0.0026954177897574125
0.0,1.0,1.0
13.0,14.0,0.07142857142857142
0.0,1.0,1.0
34.0,35.0,0.02857142857142857
0.0,1.0,1.0
24.0,25.0,0.04
426.0,370.0,0.002702702702702703
25.0,26.0,0.038461538461538464
5.0,6.0,0.16666666666666666
0.0,1.0,1.0
8.0,9.0,0.1111111111111111
0.0,1.0,1.0
21.0,22.0,0.045454545454545456
551.0,424.0,0.0023584905660377358
0.0,1.0,1.0
37.0,38.0,0.02631578947368421
102.0,103.0,0.009708737864077669
14.0,15.0,0.06666666666666667
36.0,37.0,0.02702702702702703
65.0,66.0,0.015151515151515152
23.0,24.0,0.041666666666666664
28.0,29.0,0.034482758620689655
71.0,72.0,0.013888888888888888
40.0,41.0,0.024390243902439025
236.0,232.0,0.004310344827586207
42.0,43.0,0.023255813953488372
39.0,40.0,0.025
93.0,94.0,0.010638297872340425
251.0,246.0,0.0040650406504065045
13.0,14.0,0.07142857142857142
45.0,46.0,0.021739130434782608
8.0,9.0,0.1111111111111111
27.0,28.0,0.03571428571428571
40.0,41.0,0.024390243902439025
0.0,1.0,1.0
25.0,26.0,0.038461538461538464
322.0,307.0,0.003257328990228013
155.0,156.0,0.00641025641025641
191.0,191.0,0.005235602094240838
95.0,96.0,0.010416666666666666
10.0,11.0,0.09090909090909091
27.0,28.0,0.03571428571428571
7.0,8.0,0.125
7.0,8.0,0.125
66.0,67.0,0.014925373134328358
2.0,3.0,0.3333333333333333
65.0,66.0,0.015151515151515152
25.0,26.0,0.038461538461538464
62.0,63.0,0.015873015873015872
470.0,389.0,0.002570694087403599
138.0,139.0,0.007194244604316547
48.0,49.0,0.02040816326530612
42.0,43.0,0.023255813953488372
7.0,8.0,0.125
245.0,240.0,0.004166666666666667
239.0,235.0,0.00425531914893617
30.0,31.0,0.03225806451612903
947.0,531.0,0.0018832391713747645
13.0,14.0,0.07142857142857142
114.0,115.0,0.008695652173913044
7.0,8.0,0.125
26.0,27.0,0.037037037037037035
127.0,128.0,0.0078125
164.0,165.0,0.006060606060606061
31.0,32.0,0.03125
692.0,475.0,0.002105263157894737
24.0,25.0,0.04
102.0,103.0,0.009708737864077669
0.0,1.0,1.0
42.0,43.0,0.023255813953488372
21.0,22.0,0.045454545454545456
7.0,8.0,0.125
1326.0,573.0,0.0017452006980802793
49.0,50.0,0.02
6.0,7.0,0.14285714285714285
15.0,16.0,0.0625
15.0,16.0,0.0625
44.0,45.0,0.022222222222222223
26.0,27.0,0.037037037037037035
65.0,66.0,0.015151515151515152
45.0,46.0,0.021739130434782608
251.0,246.0,0.0040650406504065045
7.0,8.0,0.125
308.0,297.0,0.003367003367003367
24.0,25.0,0.04
44.0,45.0,0.022222222222222223
20.0,21.0,0.047619047619047616
44.0,45.0,0.022222222222222223
0.0,1.0,1.0
83.0,84.0,0.011904761904761904
24.0,25.0,0.04
3301.0,612.0,0.0016339869281045752
755.0,497.0,0.002012072434607646
12.0,13.0,0.07692307692307693
24.0,25.0,0.04
37.0,38.0,0.02631578947368421
83.0,84.0,0.011904761904761904
7.0,8.0,0.125
137.0,138.0,0.007246376811594203
112.0,113.0,0.008849557522123894
138.0,139.0,0.007194244604316547
7.0,8.0,0.125
163.0,164.0,0.006097560975609756
106.0,107.0,0.009345794392523364
32.0,33.0,0.030303030303030304
7.0,8.0,0.125
37.0,38.0,0.02631578947368421
86.0,87.0,0.011494252873563218
20.0,21.0,0.047619047619047616
239.0,235.0,0.00425531914893617
59.0,60.0,0.016666666666666666
21.0,22.0,0.045454545454545456
0.0,1.0,1.0
28.0,29.0,0.034482758620689655
71.0,72.0,0.013888888888888888
15.0,16.0,0.0625
8.0,9.0,0.1111111111111111
44.0,45.0,0.022222222222222223
327.0,312.0,0.003205128205128205
95.0,96.0,0.010416666666666666
43.0,44.0,0.022727272727272728
77.0,78.0,0.01282051282051282
14.0,15.0,0.06666666666666667
26.0,27.0,0.037037037037037035
70.0,71.0,0.014084507042253521
25.0,26.0,0.038461538461538464
59.0,60.0,0.016666666666666666
60.0,61.0,0.01639344262295082
97.0,98.0,0.01020408163265306
7.0,8.0,0.125
2675.0,609.0,0.0016420361247947454
7.0,8.0,0.125
7.0,8.0,0.125
138.0,139.0,0.007194244604316547
32.0,33.0,0.030303030303030304
0.0,1.0,1.0
0.0,1.0,1.0
449.0,380.0,0.002631578947368421
0.0,1.0,1.0
51.0,52.0,0.019230769230769232
424.0,368.0,0.002717391304347826
426.0,370.0,0.002702702702702703
106.0,107.0,0.009345794392523364
13.0,14.0,0.07142857142857142
41.0,42.0,0.023809523809523808
32.0,33.0,0.030303030303030304
20.0,21.0,0.047619047619047616
13.0,14.0,0.07142857142857142
72.0,73.0,0.0136986301369863
23.0,24.0,0.041666666666666664
65.0,66.0,0.015151515151515152
70.0,71.0,0.014084507042253521
98.0,99.0,0.010101010101010102
33.0,34.0,0.029411764705882353
472.0,390.0,0.002564102564102564
116.0,117.0,0.008547008547008548
25.0,26.0,0.038461538461538464
331.0,316.0,0.0031645569620253164
27.0,28.0,0.03571428571428571
5.0,6.0,0.16666666666666666
184.0,185.0,0.005405405405405406
32.0,33.0,0.030303030303030304
0.0,1.0,1.0
21.0,22.0,0.045454545454545456
32.0,33.0,0.030303030303030304
25.0,26.0,0.038461538461538464
423.0,367.0,0.0027247956403269754
12.0,13.0,0.07692307692307693
68.0,69.0,0.014492753623188406
634.0,461.0,0.0021691973969631237
423.0,367.0,0.0027247956403269754
56.0,57.0,0.017543859649122806
12.0,13.0,0.07692307692307693
659.0,465.0,0.002150537634408602
13.0,14.0,0.07142857142857142
0.0,1.0,1.0
15.0,16.0,0.0625
62.0,63.0,0.015873015873015872
8.0,9.0,0.1111111111111111
558.0,428.0,0.002336448598130841
57.0,58.0,0.017241379310344827
265.0,259.0,0.003861003861003861
108.0,109.0,0.009174311926605505
7.0,8.0,0.125
758.0,498.0,0.002008032128514056
28.0,29.0,0.034482758620689655
105.0,106.0,0.009433962264150943
19.0,20.0,0.05
20.0,21.0,0.047619047619047616
56.0,57.0,0.017543859649122806
28.0,29.0,0.034482758620689655
39.0,40.0,0.025
133.0,134.0,0.007462686567164179
44.0,45.0,0.022222222222222223
14.0,15.0,0.06666666666666667
13.0,14.0,0.07142857142857142
105.0,106.0,0.009433962264150943
18.0,19.0,0.05263157894736842
2.0,3.0,0.3333333333333333
13.0,14.0,0.07142857142857142
16.0,17.0,0.058823529411764705
28.0,29.0,0.034482758620689655
50.0,51.0,0.0196078431372549
7.0,8.0,0.125
25.0,26.0,0.038461538461538464
20.0,21.0,0.047619047619047616
68.0,69.0,0.014492753623188406
12.0,13.0,0.07692307692307693
7.0,8.0,0.125
7.0,8.0,0.125
15.0,16.0,0.0625
29.0,30.0,0.03333333333333333
38.0,39.0,0.02564102564102564
238.0,234.0,0.004273504273504274
28.0,29.0,0.034482758620689655
8.0,9.0,0.1111111111111111
95.0,96.0,0.010416666666666666
8.0,9.0,0.1111111111111111
1561.0,583.0,0.0017152658662092624
12.0,13.0,0.07692307692307693
33.0,34.0,0.029411764705882353
168.0,169.0,0.005917159763313609
51.0,52.0,0.019230769230769232
106.0,107.0,0.009345794392523364
155.0,156.0,0.00641025641025641
147.0,148.0,0.006756756756756757
18.0,19.0,0.05263157894736842
7.0,8.0,0.125
236.0,232.0,0.004310344827586207
21.0,22.0,0.045454545454545456
56.0,57.0,0.017543859649122806
37.0,38.0,0.02631578947368421
36.0,37.0,0.02702702702702703
26.0,27.0,0.037037037037037035
41.0,42.0,0.023809523809523808
13.0,14.0,0.07142857142857142
222.0,220.0,0.004545454545454545
36.0,37.0,0.02702702702702703
0.0,1.0,1.0
136.0,137.0,0.0072992700729927005
32.0,33.0,0.030303030303030304
202.0,202.0,0.0049504950495049506
80.0,81.0,0.012345679012345678
18.0,19.0,0.05263157894736842
52.0,53.0,0.018867924528301886
26.0,27.0,0.037037037037037035
45.0,46.0,0.021739130434782608
605.0,449.0,0.0022271714922048997
197.0,197.0,0.005076142131979695
14.0,15.0,0.06666666666666667
11.0,12.0,0.08333333333333333
322.0,307.0,0.003257328990228013
145.0,146.0,0.00684931506849315
114.0,115.0,0.008695652173913044
48.0,49.0,0.02040816326530612
22.0,23.0,0.043478260869565216
566.0,432.0,0.0023148148148148147
51.0,52.0,0.019230769230769232
19.0,20.0,0.05
3.0,4.0,0.25
532.0,417.0,0.002398081534772182
51.0,52.0,0.019230769230769232
220.0,218.0,0.0045871559633027525
261.0,256.0,0.00390625
24.0,25.0,0.04
20.0,21.0,0.047619047619047616
60.0,61.0,0.01639344262295082
65.0,66.0,0.015151515151515152
50.0,51.0,0.0196078431372549
7.0,8.0,0.125
16.0,17.0,0.058823529411764705
12.0,13.0,0.07692307692307693
3.0,4.0,0.25
12.0,13.0,0.07692307692307693
100.0,101.0,0.009900990099009901
556.0,426.0,0.002347417840375587
75.0,76.0,0.013157894736842105
47.0,48.0,0.020833333333333332
82.0,83.0,0.012048192771084338
36.0,37.0,0.02702702702702703
251.0,246.0,0.0040650406504065045
3391.0,613.0,0.0016313213703099511
14.0,15.0,0.06666666666666667
44.0,45.0,0.022222222222222223
59.0,60.0,0.016666666666666666
567.0,433.0,0.0023094688221709007
31.0,32.0,0.03125
316.0,303.0,0.0033003300330033004
16.0,17.0,0.058823529411764705
92.0,93.0,0.010752688172043012
34.0,35.0,0.02857142857142857
24.0,25.0,0.04
13.0,14.0,0.07142857142857142
155.0,156.0,0.00641025641025641
115.0,116.0,0.008620689655172414
70.0,71.0,0.014084507042253521
2.0,3.0,0.3333333333333333
29.0,30.0,0.03333333333333333
26.0,27.0,0.037037037037037035
0.0,1.0,1.0
380.0,342.0,0.0029239766081871343
16.0,17.0,0.058823529411764705
0.0,1.0,1.0
38.0,39.0,0.02564102564102564
2.0,3.0,0.3333333333333333
44.0,45.0,0.022222222222222223
69.0,70.0,0.014285714285714285
23.0,24.0,0.041666666666666664
110.0,111.0,0.009009009009009009
47.0,48.0,0.020833333333333332
725.0,489.0,0.002044989775051125
23.0,24.0,0.041666666666666664
45.0,46.0,0.021739130434782608
49.0,50.0,0.02
53.0,54.0,0.018518518518518517
182.0,183.0,0.00546448087431694
25.0,26.0,0.038461538461538464
136.0,137.0,0.0072992700729927005
166.0,167.0,0.005988023952095809
52.0,53.0,0.018867924528301886
5.0,6.0,0.16666666666666666
57.0,58.0,0.017241379310344827
3047.0,610.0,0.001639344262295082
29.0,30.0,0.03333333333333333
80.0,81.0,0.012345679012345678
27.0,28.0,0.03571428571428571
374.0,340.0,0.0029411764705882353
93.0,94.0,0.010638297872340425
14.0,15.0,0.06666666666666667
8.0,9.0,0.1111111111111111
7.0,8.0,0.125
112.0,113.0,0.008849557522123894
6.0,7.0,0.14285714285714285
5.0,6.0,0.16666666666666666
59.0,60.0,0.016666666666666666
308.0,297.0,0.003367003367003367
266.0,260.0,0.0038461538461538464
8.0,9.0,0.1111111111111111
7.0,8.0,0.125
48.0,49.0,0.02040816326530612
0.0,1.0,1.0
82.0,83.0,0.012048192771084338
15.0,16.0,0.0625
62.0,63.0,0.015873015873015872
28.0,29.0,0.034482758620689655
47.0,48.0,0.020833333333333332
26.0,27.0,0.037037037037037035
426.0,370.0,0.002702702702702703
13.0,14.0,0.07142857142857142
11.0,12.0,0.08333333333333333
0.0,1.0,1.0
43.0,44.0,0.022727272727272728
76.0,77.0,0.012987012987012988
2.0,3.0,0.3333333333333333
284.0,277.0,0.0036101083032490976
34.0,35.0,0.02857142857142857
426.0,370.0,0.002702702702702703
43.0,44.0,0.022727272727272728
0.0,1.0,1.0
23.0,24.0,0.041666666666666664
109.0,110.0,0.00909090909090909
12.0,13.0,0.07692307692307693
20.0,21.0,0.047619047619047616
37.0,38.0,0.02631578947368421
68.0,69.0,0.014492753623188406
273.0,267.0,0.003745318352059925
25.0,26.0,0.038461538461538464
32.0,33.0,0.030303030303030304
137.0,138.0,0.007246376811594203
13.0,14.0,0.07142857142857142
37.0,38.0,0.02631578947368421
24.0,25.0,0.04
68.0,69.0,0.014492753623188406
0.0,1.0,1.0
7.0,8.0,0.125
68.0,69.0,0.014492753623188406
205.0,205.0,0.004878048780487805
20.0,21.0,0.047619047619047616
77.0,78.0,0.01282051282051282
947.0,531.0,0.0018832391713747645
31.0,32.0,0.03125
29.0,30.0,0.03333333333333333
470.0,389.0,0.002570694087403599
14.0,15.0,0.06666666666666667
91.0,92.0,0.010869565217391304
30.0,31.0,0.03225806451612903
98.0,99.0,0.010101010101010102
207.0,207.0,0.004830917874396135
24.0,25.0,0.04
66.0,67.0,0.014925373134328358
41.0,42.0,0.023809523809523808
223.0,221.0,0.004524886877828055
7.0,8.0,0.125
6.0,7.0,0.14285714285714285
301.0,291.0,0.003436426116838488
93.0,94.0,0.010638297872340425
138.0,139.0,0.007194244604316547
17.0,18.0,0.05555555555555555
14.0,15.0,0.06666666666666667
18.0,19.0,0.05263157894736842
424.0,368.0,0.002717391304347826
16.0,17.0,0.058823529411764705
